statementClean,cRelevant,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber
stay on the screen come on man,0,739,5,5,55
i need to start moving,0,14,5,5,631
getting used to the sensitivity but i completely expect that once the controls change it will be difficult all over again,0,12,3,3,451
get back into the hexagon,0,300,10,10,423
control the ship,0,454,3,3,169
slow it down,0,454,2,2,155
still cant control this thing,0,26,4,4,52
i guess the rotation is just so fast for me its difficult,0,127,6,6,258
and i have it right within what i need,0,34,4,4,166
turn around,0,28,2,2,74
turn,0,51,5,5,158
and hes moving faster than usual it seems like,0,20,3,3,474
move,0,55,3,3,654
trying to do this with my left hand is definitely hindering my point game,0,818,3,3,38
alright,0,825,1,1,11
p alright this time im finishing positive,0,16,5,5,345
control your speed,0,51,6,6,183
okay i didnt know that those mines could move,0,51,1,1,13
slow it down,0,28,5,5,207
p alright so lets youuu,0,28,3,3,122
rotate rotate rotate come on rotate go,0,127,1,1,197
p slow down bonus missiles,0,50,9,9,108
that velocity scored points are like nothing cause i keep dying,0,12,1,1,373
alright,0,16,8,8,613
actually even though if i stay it just for some reason starts putting me towards the hexagon,0,57,4,4,1022
alright,0,28,5,5,211
